Paises,Rendimento Ensino basico,Rendimento Ensino pos-secundario,Rendimento Ensino superior,Indice de Gini,Populacao estrangeira,Moeda,Regiao,Populacao ensino superior,Populacao desempregada,PIB per capita,Despesa Alimentacao,Despesa Saude,Despesa Transportes e comunicacoes,Despesa Educacao,Despesa Habitacao e utilidades,Despesa Servicos,Despesa Lazer e cultura,Despesa Vestuario e recheio de casa
Alemanha,18134,22641,29680,29.1,11.2,Euro,Europa central,28.6,3.7,36849.90,11,5,18,1,23,18,12,12
Austria,21760,27212,34828,27.9,15.2,Euro,Europa central,32.4,5.5,38162.70,10,4,14,1,23,23,13,12
Belgica,18431,23283,30967,26,11.9,Euro,Europa central,40.3,7.1,34787.80,14,7,13,0,24,20,12,10
Bulgaria,2539,4452,7494,40.2,1.1,Nao-euro,Europa de leste,27.8,6.2,14787.00,19,6,19,1,20,14,13,8
Chipre,12430,16082,23514,30.8,16.4,Euro,Europa de sul,42.5,11,25054.00,14,5,16,3,15,26,12,9
Croacia,4919,6793,10084,29.9,1.1,Nao-euro,Europa de leste,23.7,11.2,18476.00,19,4,13,1,16,23,15,9
Dinamarca,26758,30748,38423,27.6,8.4,Nao-euro,Europa de norte,39.1,5.7,37469.20,11,3,14,1,29,18,15,9
Eslovaquia,5841,7570,9171,23.2,1.3,Euro,Europa de leste,23.1,8.1,22999.50,18,3,11,2,24,17,15,10
Eslovenia,10557,12770,17430,23.7,5.5,Euro,Europa de leste,32.5,6.6,25366.30,15,4,19,1,19,18,14,10
Espanha,13052,16399,22783,34.1,9.5,Euro,Europa de sul,36.4,17.2,27625.70,12,4,15,2,22,26,11,8
Estónia,7585,9495,13051,31.6,14.9,Euro,Europa de norte,39.7,5.8,23054.60,20,3,15,0,18,17,16,11
Finlandia,21886,24848,33847,25.3,4.4,Euro,Europa de norte,43.7,8.6,32699.00,12,5,14,0,29,17,14,9
Franca,22155,24890,32732,29.3,6.9,Euro,Europa central,35.2,9.4,31286.00,13,4,16,1,26,19,12,9
Grecia,7152,8534,12211,33.4,7.5,Euro,Europa de sul,31,21.5,20087.40,17,4,18,2,20,22,10,7
Hungria,4246,5513,7799,28.1,1.5,Nao-euro,Europa de leste,24.1,4.2,20430.40,18,4,17,2,19,18,14,8
Irlanda,,,,35.7,11.8,Euro,Europa central,46.5,6.7,54715.30,9,5,16,3,24,23,12,8
Italia,15621,20161,27535,32.7,8.3,Euro,Europa de sul,18.7,11.2,28684.80,14,4,14,1,23,21,11,12
Letonia,5106,7078,10745,34.5,14.3,Euro,Europa de norte,33.9,8.7,20058.60,18,5,15,2,21,12,18,9
Lituania,4763,6528,11038,37.6,0.7,Euro,Europa de norte,40.3,7.1,23337.40,22,5,19,0,15,12,14,13
Luxemburgo,33570,41852,53988,30.9,47.6,Euro,Europa central,39.9,5.5,75854.60,9,3,17,1,25,21,14,10
Malta,13160,17706,24811,28.3,11.8,Euro,Europa de sul,23.9,4,28590.00,12,4,15,2,10,31,14,12
Paises Baixos,21312,24644,32352,27.1,5.4,Euro,Europa central,37.2,4.8,38394.60,11,4,15,1,24,21,13,11
Polonia,4928,6236,9646,29.2,0.6,Nao-euro,Europa de leste,29.9,4.9,21111.10,17,6,14,1,21,17,14,10
Portugal,8817,11506,17906,33.5,3.9,Euro,Europa de sul,24,8.9,23022.90,17,5,16,1,18,23,9,11
Reino Unido,19123,23179,32162,33.1,9.2,Nao-euro,Europa central,42.8,4.3,31501.30,8,2,15,2,27,23,13,10
Republica Checa,6976,8956,12060,24.5,4.8,Nao-euro,Europa de leste,23.9,2.9,26427.50,16,2,13,1,25,17,17,9
Romenia,2125,3169,5230,33.1,0.6,Nao-euro,Europa de leste,17.6,4.9,18802.00,28,6,15,2,22,7,12,8
Suecia,22632,29090,32358,28,8.4,Nao-euro,Europa de norte,41.9,6.7,36556.10,12,4,16,0,26,18,14,10
